state_full,year,pop,state
.Alabama,2018,"4,887,871",AL
.Alaska,2018,"737,438",AK
.Arizona,2018,"7,171,646",AZ
.Arkansas,2018,"3,013,825",AR
.California,2018,"39,557,045",CA
.Colorado,2018,"5,695,564",CO
.Connecticut,2018,"3,572,665",CT
.Delaware,2018,"967,171",DE
.District of Columbia,2018,"702,455",DC
.Florida,2018,"21,299,325",FL
.Georgia,2018,"10,519,475",GA
.Hawaii,2018,"1,420,491",HI
.Idaho,2018,"1,754,208",ID
.Illinois,2018,"12,741,080",IL
.Indiana,2018,"6,691,878",IN
.Iowa,2018,"3,156,145",IA
.Kansas,2018,"2,911,505",KS
.Kentucky,2018,"4,468,402",KY
.Louisiana,2018,"4,659,978",LA
.Maine,2018,"1,338,404",ME
.Maryland,2018,"6,042,718",MD
.Massachusetts,2018,"6,902,149",MA
.Michigan,2018,"9,995,915",MI
.Minnesota,2018,"5,611,179",MN
.Mississippi,2018,"2,986,530",MS
.Missouri,2018,"6,126,452",MO
.Montana,2018,"1,062,305",MT
.Nebraska,2018,"1,929,268",NE
.Nevada,2018,"3,034,392",NV
.New Hampshire,2018,"1,356,458",NH
.New Jersey,2018,"8,908,520",NJ
.New Mexico,2018,"2,095,428",NM
.New York,2018,"19,542,209",NY
.North Carolina,2018,"10,383,620",NC
.North Dakota,2018,"760,077",ND
.Ohio,2018,"11,689,442",OH
.Oklahoma,2018,"3,943,079",OK
.Oregon,2018,"4,190,713",OR
.Pennsylvania,2018,"12,807,060",PA
.Rhode Island,2018,"1,057,315",RI
.South Carolina,2018,"5,084,127",SC
.South Dakota,2018,"882,235",SD
.Tennessee,2018,"6,770,010",TN
.Texas,2018,"28,701,845",TX
.Utah,2018,"3,161,105",UT
.Vermont,2018,"626,299",VT
.Virginia,2018,"8,517,685",VA
.Washington,2018,"7,535,591",WA
.West Virginia,2018,"1,805,832",WV
.Wisconsin,2018,"5,813,568",WI
.Wyoming,2018,"577,737",WY
